src_ip,dst_ip,length,protocol,src_port,dst_port,flags,timestamp
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:29:57
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:29:58
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:29:58
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:29:58
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:29:58
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:29:59
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:29:59
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:29:59
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:00
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:00
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:00
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:00
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:00
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:00
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:01
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:01
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:01
34.160.144.191,192.168.31.136,143,6,443,55264,PA,2025-05-17 13:30:02
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:02
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:02
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:02
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:02
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:02
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:02
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:03
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:03
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:03
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:03
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:03
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:03
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:04
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:04
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:04
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:04
