src_ip,dst_ip,length,protocol,src_port,dst_port,flags,prediction
59.103.93.91,192.168.31.136,60,6,80,52946,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52934,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52926,A,0
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
192.168.31.136,8.8.8.8,98,1,0,0,NONE,1
8.8.8.8,192.168.31.136,98,1,0,0,NONE,1
